
Mon Jul 13 22:02:48 2020, board: 1, dev: 1, status: On
Mon Jul 13 22:02:50 2020, board: 1, dev: 1, status: Off
Mon Jul 13 22:04:48 2020, board: 1, dev: 2, status: Off
Mon Jul 13 22:04:49 2020, board: 1, dev: 2, status: On
Mon Jul 13 22:04:53 2020, board: 1, dev: 2, status: Off
Mon Jul 13 22:04:56 2020, board: 1, dev: 1, status: Off
Mon Jul 13 22:05:00 2020, board: 1, dev: 4, status: Off
Mon Jul 13 22:09:06 2020, board: 1, dev: 3, status: Off
Mon Jul 13 22:09:06 2020, board: 1, dev: 3, status: On
Mon Jul 13 22:09:09 2020, board: 1, dev: 3, status: Off
Mon Jul 13 22:09:11 2020, board: 1, dev: 2, status: Off
Mon Jul 13 22:09:11 2020, board: 1, dev: 2, status: On
Mon Jul 13 22:09:13 2020, board: 1, dev: 2, status: Off
Mon Jul 13 22:09:15 2020, board: 1, dev: 1, status: On
Mon Jul 13 22:09:17 2020, board: 1, dev: 4, status: On
Mon Jul 13 22:09:18 2020, board: 1, dev: 3, status: On
Mon Jul 13 22:09:21 2020, board: 1, dev: 2, status: On
Mon Jul 13 22:09:26 2020, board: 1, dev: 2, status: Off
Mon Jul 13 22:09:26 2020, board: 1, dev: 2, status: On
Mon Jul 13 22:09:26 2020, board: 1, dev: 1, status: Off
Mon Jul 13 22:09:28 2020, board: 1, dev: 2, status: Off
Mon Jul 13 22:09:28 2020, board: 1, dev: 3, status: Off
Mon Jul 13 22:09:29 2020, board: 1, dev: 3, status: On
Mon Jul 13 22:09:30 2020, board: 1, dev: 3, status: Off
Mon Jul 13 22:09:30 2020, board: 1, dev: 4, status: Off
Tue Jul 14 09:56:08 2020, board: 1, dev: 2, status: On
Tue Jul 14 09:56:10 2020, board: 1, dev: 2, status: Off
Tue Jul 14 09:56:14 2020, board: 1, dev: 2, status: On
Tue Jul 14 09:56:19 2020, board: 1, dev: 2, status: Off
Tue Jul 14 09:56:37 2020, board: 1, dev: 2, status: On
Tue Jul 14 09:56:38 2020, board: 1, dev: 2, status: Off
